timestamp,container_network_receive_packets_dropped.eth0,container_spec_cpu_shares,container_spec_memory_swap_limit_MB,container_fs_writes_MB./dev/vda,container_network_transmit_packets_dropped.eth0,container_network_receive_errors.eth0,container_fs_writes_merged./dev/vda1,container_threads_max,container_fs_write_seconds./dev/vda1,container_fs_inodes_free./dev/vda1,container_fs_sector_reads./dev/vda1,container_network_transmit_packets.eth0,container_cpu_usage_seconds,container_cpu_cfs_throttled_periods,container_file_descriptors,container_cpu_cfs_throttled_seconds,container_fs_reads./dev/vda,container_fs_reads./dev/vda1,container_memory_failures.container.pgfault,container_memory_failures.container.pgmajfault,container_memory_failures.hierarchy.pgfault,container_memory_failures.hierarchy.pgmajfault,container_memory_max_usage_MB,container_fs_inodes./dev/vda1,container_fs_reads_MB./dev/vda,container_last_seen,container_cpu_user_seconds,container_fs_limit_MB./dev/vda1,container_fs_io_time_weighted_seconds./dev/vda1,container_fs_sector_writes./dev/vda1,container_network_receive_packets.eth0,container_memory_working_set_MB,container_fs_io_current./dev/vda1,container_memory_usage_MB,container_fs_usage_MB./dev/vda1,container_sockets,container_fs_io_time_seconds./dev/vda1,container_memory_failcnt,container_spec_cpu_quota,container_fs_writes./dev/vda,container_fs_writes./dev/vda1,container_ulimits_soft.max_open_files,container_network_receive_MB.eth0,container_tasks_state.iowaiting,container_tasks_state.running,container_tasks_state.sleeping,container_tasks_state.stopped,container_tasks_state.uninterruptible,container_fs_read_seconds./dev/vda1,container_memory_rss,container_start_time_seconds,container_memory_mapped_file,container_spec_memory_reservation_limit_MB,container_memory_cache,container_cpu_cfs_periods,container_spec_cpu_period,container_memory_swap,container_threads,container_network_transmit_errors.eth0,container_spec_memory_limit_MB,container_fs_reads_merged./dev/vda1,container_network_transmit_MB.eth0,container_cpu_system_seconds,container_cpu_load_average_10s
1647619260,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,215.5,0.0118835385000011,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619300,0.0200000000000954,604630.73828125,0.0,0.0,354.5,27.21484375,0,39.3984375,35.255859375,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.0322976112365722,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,19.0,100000,0,28.0,0.0,256.0,0.0,0.5463390350341797,0.0049999999999954,0
1647619320,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,211.0,0.0167529299999387,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619360,0.0099999999999909,604630.73828125,0.0,0.0,334.5,27.1953125,0,39.25,35.259765625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.030949592590332,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,24.0,100000,0,28.0,0.0,256.0,0.0,0.3542003631591797,0.0050000000000096,0
1647619380,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,230.5,0.0113895375000083,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619420,0.0099999999999909,604630.73828125,0.0,0.0,352.5,27.18359375,0,39.23828125,35.263671875,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.0327043533325195,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,16.0,100000,0,28.0,0.0,256.0,0.0,0.5485639572143555,0.0050000000000096,0
1647619440,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,180.0,0.0136297445001218,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619480,0.0099999999999909,604630.73828125,0.0,0.0,289.5,27.18359375,0,39.23828125,35.267578125,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.02781343460083,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,17.0,100000,0,28.0,0.0,256.0,0.0,0.3425526618957519,0.0049999999999954,0
1647619500,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,219.0,0.0075381874999038,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619540,0.0049999999999954,604630.73828125,0.0,0.0,345.5,27.18359375,0,39.23828125,35.271484375,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.031689167022705,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,8.0,100000,0,28.0,0.0,256.0,0.0,0.4473543167114258,0.0049999999999954,0
1647619560,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,193.5,0.0180002229999445,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619600,0.0149999999999863,604630.73828125,0.0,0.0,314.0,27.18359375,0,39.23828125,35.275390625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.0291914939880371,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,24.0,100000,0,28.0,0.0,256.0,0.0,0.4457917213439941,0.0049999999999954,0
1647619620,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,218.0,0.014502933000017,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619660,0.0049999999999954,604630.73828125,0.0,0.0,350.0,27.18359375,0,39.23828125,35.279296875,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.0330204963684082,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,16.0,100000,0,28.0,0.0,256.0,0.0,0.4587454795837402,0.0100000000000051,0
1647619680,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,238.5,0.0151477180000938,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619720,0.0049999999999954,604630.73828125,0.0,0.0,403.0,27.18359375,0,39.23828125,35.283203125,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.0364117622375488,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,23.0,100000,0,28.0,0.0,256.0,0.0,0.6570615768432617,0.0,0
1647619740,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,159.5,0.0164813895000861,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619780,0.0049999999999954,604630.73828125,0.0,0.0,251.0,27.18359375,0,39.23828125,35.287109375,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.0221805572509765,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,24.0,100000,0,28.0,0.0,256.0,0.0,0.2385063171386718,0.0,0
1647619800,0.0,204,256.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,474.0,0.0112077664998651,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,1647619840,0.0149999999999863,604630.73828125,0.0,0.0,620.5,27.18359375,0,39.23828125,35.291015625,4.0,0.0,0,40000,0.0,0.0,1048576.0,0.6217565536499023,0,0,0,0,0,0.0,10858496.0,1647144385,6758400,0.0,19730432.0,15.0,100000,0,28.0,0.0,256.0,0.0,0.4994549751281738,0.0,0
